City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mackenzie,40,CA,1554764400,34,55.34,-123.09,50.0,2.24
Cherskiy,12,RU,1554768374,79,68.75,161.3,22.3,2.37
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Sindor,88,RU,1554768395,84,62.87,51.9,29.5,4.61
Kaeo,0,NZ,1554768185,55,-35.1,173.78,71.01,1.01
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Severo-Kurilsk,56,RU,1554768301,93,50.68,156.12,32.02,15.35
Mareeba,40,AU,1554768017,74,-16.99,145.42,80.6,9.17
San Luis,0,AR,1554768358,21,-33.3,-66.34,70.99,10.65
Fiumicino,0,IT,1554768364,81,41.77,12.23,53.01,9.17
Mandalgovi,76,MN,1554768398,70,45.76,106.27,26.98,10.09
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Gbadolite,24,CD,1554768399,87,4.28,21.0,72.97,2.48
New Norfolk,40,AU,1554768256,81,-42.78,147.06,55.0,13.87
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Tasiilaq,92,GL,1554763800,47,65.61,-37.64,33.8,27.51
Mazamet,90,FR,1554768135,93,43.49,2.38,54.0,9.17
San Lazaro,40,BZ,1554764400,74,18.04,-88.66,86.0,9.17
Jamestown,12,AU,1554768265,67,-33.21,138.6,56.59,11.61
Arraial Do Cabo,88,BR,1554768293,100,-22.97,-42.02,76.39,7.85
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Vaini,0,IN,1554768257,90,15.34,74.49,65.23,1.36
Saucillo,0,MX,1554768401,8,28.03,-105.29,81.61,4.56
Dolores,0,AR,1554768401,66,-36.31,-57.68,65.05,8.08
Provideniya,40,RU,1554766200,62,64.42,-173.23,19.4,15.66
Ribeira Grande,40,PT,1554766200,67,38.52,-28.7,59.0,11.41
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Byron Bay,12,AU,1554768137,61,-28.65,153.62,80.01,12.75
Muravlenko,80,RU,1554768402,97,63.79,74.5,34.9,17.69
Cabo San Lucas,5,MX,1554768136,24,22.89,-109.91,86.0,18.34
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Jamestown,12,AU,1554768265,67,-33.21,138.6,56.59,11.61
Cape Town,0,ZA,1554768367,88,-33.93,18.42,71.01,11.41
Tabou,24,CI,1554768404,100,4.42,-7.36,81.07,7.85
Bambous Virieux,40,MU,1554768238,83,-20.34,57.76,78.8,11.41
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Mar Del Plata,48,AR,1554768404,84,-46.43,-67.52,59.47,4.0
Cayenne,90,GF,1554766200,78,4.94,-52.33,80.6,11.41
Chokurdakh,20,RU,1554768326,98,70.62,147.9,18.25,9.75
Hobart,40,AU,1554767956,69,-42.88,147.33,54.0,13.87
Bayan,32,MN,1554768364,38,47.25,107.54,25.09,9.86
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Puerto Ayora,20,EC,1554768072,78,-0.74,-90.35,82.4,10.29
San Patricio,12,PY,1554768266,72,-26.98,-56.83,70.72,4.61
Airai,0,TL,1554768299,69,-8.93,125.41,77.65,1.03
Saint-Augustin,75,FR,1554768211,100,44.83,-0.61,46.99,2.82
Ilulissat,0,GL,1554763800,48,69.22,-51.1,39.2,20.8
Atuona,36,PF,1554768264,100,-9.8,-139.03,81.61,7.81
Santa Lucia,5,IT,1554764100,50,39.93,9.66,51.8,4.7
Los Llanos De Aridane,44,ES,1554766200,63,28.66,-17.92,62.6,6.93
Mongoumba,20,CD,1554768408,85,3.64,18.59,76.39,3.33
Tuktoyaktuk,90,CA,1554764400,77,69.44,-133.03,5.0,14.99
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Luderitz,0,NA,1554768342,89,-26.65,15.16,56.32,8.81
Vestmannaeyjar,24,IS,1554768217,88,63.44,-20.27,41.11,18.43
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Mar Del Plata,48,AR,1554768404,84,-46.43,-67.52,59.47,4.0
